Eb/No (dB),RS Depth 4 (BPSK),Concat 1/2 D4 (BPSK),RS Depth 4 (8PSK),Concat 1/2 D4 (8PSK),Uncoded (BPSK),Uncoded (8PSK),Uncoded (16QAM),CCSDS 4D-8PSK-TCM (BPSK),CCSDS 4D-8PSK-TCM-2.0 (BPSK),Concat 2/3 D4 (BPSK),Concat 3/4 D4 (BPSK),Concat 5/6 D4 (BPSK),Concat 7/8 D4 (BPSK),Uncoded (32APSK),Uncoded (64APSK),Uncoded (16APSK),Uncoded (64QAM),Uncoded (256QAM),Uncoded (256APSK),Uncoded (128APSK),Uncoded (128QAM),Concat 2/3 D4 (8PSK),Concat 3/4 D4 (8PSK),Concat 5/6 D4 (8PSK)
4.0,1.000000e+00,0.000000e+00,1.000000e+00,6.599772e-06,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,3.999867e-07,1.064381e-02,2.301328e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,9.549550e-01,1.000000e+00,1.000000e+00
4.1,1.000000e+00,0.000000e+00,1.000000e+00,6.999754e-07,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,9.999646e-08,2.328194e-03,8.936826e-02,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,8.420234e-01,1.000000e+00,1.000000e+00
4.2,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,4.209266e-04,2.625871e-02,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,6.313282e-01,1.000000e+00,1.000000e+00
4.3,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,5.959835e-05,6.580114e-03,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,3.883212e-01,1.000000e+00,1.000000e+00
4.4,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,7.299676e-06,1.196679e-03,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,2.129369e-01,1.000000e+00,1.000000e+00
4.5,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,1.299950e-06,1.959273e-04,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,8.368201e-02,1.000000e+00,1.000000e+00
4.6,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,9.999610e-08,2.539919e-05,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,2.715851e-02,9.990741e-01,1.000000e+00
4.7,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.699882e-06,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,6.621379e-03,9.990619e-01,1.000000e+00
4.8,9.990834e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.999854e-07,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.471159e-03,9.908172e-01,1.000000e+00
4.9,9.962894e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.999938e-07,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,2.442338e-04,9.727520e-01,1.000000e+00
5.0,9.937050e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,3.389870e-05,8.867450e-01,1.000000e+00
5.1,9.611307e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,5.699726e-06,7.775331e-01,1.000000e+00
